y	m	P	Evp	Tem	Qobs
1955	1	6.83 	16.36 	-19.09 	42
1955	2	6.42 	27.15 	-8.40 	56.3
1955	3	16.10 	65.60 	-2.63 	67
1955	4	35.65 	85.83 	0.91 	94.2
1955	5	74.92 	110.42 	5.84 	232
1955	6	50.08 	116.91 	8.83 	174
1955	7	119.67 	112.27 	12.35 	308
1955	8	87.47 	120.77 	12.08 	301
1955	9	143.07 	72.14 	8.76 	352
1955	10	47.80 	39.99 	3.32 	310
1955	11	6.17 	32.82 	-5.73 	149
1955	12	2.50 	25.42 	-9.61 	80.5
1956	1	13.62 	18.20 	-14.75 	55.1
1956	2	2.17 	43.51 	-9.23 	60.4
1956	3	18.73 	68.62 	-2.46 	60.7
1956	4	39.55 	94.69 	2.85 	97.2
1956	5	37.23 	107.11 	4.92 	81.9
1956	6	95.38 	92.83 	9.82 	145
1956	7	76.53 	116.65 	10.52 	182
1956	8	107.35 	106.68 	10.05 	196
1956	9	37.83 	101.64 	6.93 	165
1956	10	29.05 	54.90 	0.23 	127
1956	11	4.05 	36.75 	-7.64 	70.5
1956	12	6.95 	23.67 	-12.69 	42.9
1957	1	10.70 	19.78 	-12.75 	36.9
1957	2	9.55 	30.82 	-10.95 	34.9
1957	3	10.18 	86.90 	-3.36 	50.4
1957	4	47.42 	99.89 	2.47 	70.7
1957	5	93.40 	92.65 	5.47 	216
1957	6	53.15 	120.20 	8.71 	140
1957	7	131.38 	103.07 	11.04 	195
1957	8	54.78 	115.51 	9.86 	131
1957	9	60.94 	55.09 	6.48 	134
1957	10	26.38 	61.90 	-2.06 	97.4
1957	11	7.34 	30.93 	-5.10 	61.4
1957	12	3.18 	24.08 	-10.50 	43.9
1958	1	7.64 	24.68 	-14.98 	35.4
1958	2	5.18 	37.62 	-11.79 	39.7
1958	3	7.84 	89.63 	-4.26 	44.1
1958	4	21.72 	116.92 	2.24 	44.4
1958	5	77.34 	114.91 	5.97 	93.2
1958	6	82.94 	103.59 	9.88 	198
1958	7	96.00 	129.81 	11.93 	136
1958	8	153.80 	76.29 	11.30 	378
1958	9	94.68 	72.06 	7.53 	334
1958	10	41.62 	44.46 	0.80 	307
1958	11	8.44 	29.19 	-4.23 	148
1958	12	5.56 	21.67 	-10.33 	87.4
1959	1	9.74 	24.11 	-14.26 	57.3
1959	2	16.90 	25.43 	-9.58 	59
1959	3	22.18 	59.74 	-3.45 	69.1
1959	4	14.24 	112.45 	1.59 	96.5
1959	5	86.70 	81.56 	3.62 	170
1959	6	61.15 	99.85 	7.69 	202
1959	7	111.43 	118.68 	11.15 	233
1959	8	189.07 	91.68 	10.38 	630
1959	9	63.23 	81.60 	3.42 	332
1959	10	29.13 	69.91 	-0.68 	161
1959	11	5.92 	42.93 	-5.60 	100
1959	12	5.85 	31.38 	-12.27 	66.6
1960	1	3.53 	32.35 	-15.94 	48.9
1960	2	6.68 	44.52 	-10.35 	51.7
1960	3	16.88 	77.56 	-3.30 	60.1
1960	4	56.20 	79.76 	-0.09 	70.4
1960	5	86.62 	107.49 	4.27 	116
1960	6	58.17 	99.72 	8.36 	123
1960	7	126.62 	101.99 	10.39 	225
1960	8	102.82 	96.39 	9.57 	333
1960	9	97.63 	85.46 	6.69 	209
1960	10	39.90 	39.34 	-0.96 	365
1960	11	17.28 	30.42 	-6.15 	152
1960	12	3.52 	30.30 	-13.44 	82.9
1961	1	6.10 	29.61 	-15.35 	55.8
1961	2	13.47 	25.82 	-12.29 	55.3
1961	3	31.47 	42.98 	-4.37 	86.2
1961	4	33.65 	87.40 	0.15 	155
1961	5	48.47 	121.62 	2.88 	192
1961	6	80.78 	110.02 	8.63 	179
1961	7	84.95 	113.52 	11.04 	294
1961	8	131.87 	94.03 	10.96 	228
1961	9	121.18 	68.15 	4.86 	318
1961	10	93.22 	41.41 	2.03 	526
1961	11	16.30 	26.18 	-5.98 	228
1961	12	6.00 	21.72 	-13.62 	110
1962	1	5.92 	21.82 	-16.00 	77.2
1962	2	6.05 	41.19 	-10.93 	80.7
1962	3	5.93 	67.05 	-7.81 	74.9
1962	4	16.55 	101.17 	-1.24 	84.9
1962	5	41.70 	107.11 	3.70 	74.6
1962	6	60.60 	110.06 	6.73 	114
1962	7	142.25 	86.59 	10.31 	324
1962	8	69.03 	107.78 	8.73 	229
1962	9	78.32 	72.57 	5.70 	176
1962	10	63.22 	41.12 	1.99 	317
1962	11	19.22 	27.10 	-6.58 	153
1962	12	4.43 	22.32 	-12.53 	79.3
1963	1	0.33 	32.51 	-18.54 	50.5
1963	2	4.08 	41.81 	-13.29 	60.6
1963	3	11.00 	71.04 	-5.73 	66.3
1963	4	37.77 	90.74 	0.55 	84.3
1963	5	109.37 	100.30 	5.60 	201
1963	6	75.88 	96.38 	6.42 	219
1963	7	104.82 	91.49 	9.17 	278
1963	8	64.30 	107.82 	9.56 	230
1963	9	96.78 	68.05 	7.43 	352
1963	10	43.25 	57.96 	-0.23 	317
1963	11	15.67 	35.02 	-6.59 	142
1963	12	3.95 	26.59 	-13.78 	82
1964	1	14.25 	19.01 	-15.22 	56.7
1964	2	14.53 	29.94 	-11.82 	60.6
1964	3	18.32 	74.61 	-4.59 	76.6
1964	4	63.33 	100.47 	2.53 	135
1964	5	115.95 	90.46 	5.48 	340
1964	6	78.33 	87.59 	6.94 	290
1964	7	175.10 	88.42 	10.08 	680
1964	8	134.82 	96.02 	9.46 	439
1964	9	100.85 	60.84 	7.57 	453
1964	10	50.07 	51.52 	3.28 	378
1964	11	5.27 	32.62 	-5.88 	187
1964	12	6.55 	23.93 	-12.74 	103
1965	1	1.17 	33.65 	-14.56 	71.7
1965	2	11.10 	34.83 	-10.59 	69.9
1965	3	17.08 	62.76 	-5.77 	68.3
1965	4	61.13 	92.68 	1.25 	145
1965	5	58.93 	101.55 	3.98 	180
1965	6	54.08 	93.49 	7.02 	138
1965	7	101.40 	97.23 	9.29 	187
1965	8	48.22 	110.49 	7.85 	136
1965	9	49.32 	74.50 	5.48 	103
1965	10	55.70 	59.21 	-0.44 	129
1965	11	11.13 	33.79 	-6.71 	74.7
1965	12	7.37 	23.53 	-14.53 	43
1966	1	3.18 	34.99 	-14.81 	36.8
1966	2	6.90 	39.94 	-11.59 	40.4
1966	3	14.68 	80.06 	-4.61 	48.7
1966	4	27.22 	99.97 	0.69 	61.5
1966	5	57.67 	112.46 	4.36 	80.3
1966	6	60.57 	121.63 	6.79 	73.1
1966	7	117.57 	82.24 	11.65 	284
1966	8	131.58 	98.52 	10.56 	404
1966	9	108.90 	50.68 	5.79 	600
1966	10	43.13 	50.20 	0.15 	327
1966	11	7.67 	30.35 	-8.10 	161
1966	12	5.63 	25.81 	-12.77 	92.2
1967	1	6.19 	23.50 	-15.88 	58.4
1967	2	10.24 	30.29 	-12.70 	61
1967	3	37.59 	53.25 	-5.81 	78.4
1967	4	48.71 	62.02 	-0.74 	141
1967	5	143.57 	74.97 	6.21 	456
1967	6	91.17 	82.33 	6.15 	314
1967	7	119.33 	100.70 	9.35 	427
1967	8	172.59 	79.66 	10.82 	430
